Submission ID,age,cups_per_day,Where do you typically drink coffee?,Where do you typically drink coffee? (At home),Where do you typically drink coffee? (At the office),Where do you typically drink coffee? (On the go),Where do you typically drink coffee? (At a cafe),Where do you typically drink coffee? (None of these),How do you brew coffee at home?,How do you brew coffee at home? (Pour over),How do you brew coffee at home? (French press),How do you brew coffee at home? (Espresso),How do you brew coffee at home? (Coffee brewing machine (e.g. Mr. Coffee)),How do you brew coffee at home? (Pod/capsule machine (e.g. Keurig/Nespresso)),How do you brew coffee at home? (Instant coffee),How do you brew coffee at home? (Bean-to-cup machine),How do you brew coffee at home? (Cold brew),How do you brew coffee at home? (Coffee extract (e.g. Cometeer)),How do you brew coffee at home? (Other),How else do you brew coffee at home?,"On the go, where do you typically purchase coffee?","On the go, where do you typically purchase coffee? (National chain (e.g. Starbucks, Dunkin))","On the go, where do you typically purchase coffee? (Local cafe)","On the go, where do you typically purchase coffee? (Drive-thru)","On the go, where do you typically purchase coffee? (Specialty coffee shop)","On the go, where do you typically purchase coffee? (Deli or supermarket)","On the go, where do you typically purchase coffee? (Other)",Where else do you purchase coffee?,What is your favorite coffee drink?,Please specify what your favorite coffee drink is,Do you usually add anything to your coffee?,Do you usually add anything to your coffee? (No - just black),"Do you usually add anything to your coffee? (Milk, dairy alternative, or coffee creamer)",Do you usually add anything to your coffee? (Sugar or sweetener),Do you usually add anything to your coffee? (Flavor syrup),Do you usually add anything to your coffee? (Other),What else do you add to your coffee?,What kind of dairy do you add?,What kind of dairy do you add? (Whole milk),What kind of dairy do you add? (Skim milk),What kind of dairy do you add? (Half and half),What kind of dairy do you add? (Coffee creamer),What kind of dairy do you add? (Flavored coffee creamer),What kind of dairy do you add? (Oat milk),What kind of dairy do you add? (Almond milk),What kind of dairy do you add? (Soy milk),What kind of dairy do you add? (Other),What kind of sugar or sweetener do you add?,What kind of sugar or sweetener do you add? (Granulated Sugar),"What kind of sugar or sweetener do you add? (Artificial Sweeteners (e.g., Splenda))",What kind of sugar or sweetener do you add? (Honey),What kind of sugar or sweetener do you add? (Maple Syrup),What kind of sugar or sweetener do you add? (Stevia),What kind of sugar or sweetener do you add? (Agave Nectar),What kind of sugar or sweetener do you add? (Brown Sugar),What kind of sugar or sweetener do you add? (Raw Sugar (Turbinado)),What kind of flavorings do you add?,What kind of flavorings do you add? (Vanilla Syrup),What kind of flavorings do you add? (Caramel Syrup),What kind of flavorings do you add? (Hazelnut Syrup),What kind of flavorings do you add? (Cinnamon (Ground or Stick)),What kind of flavorings do you add? (Peppermint Syrup),What kind of flavorings do you add? (Other),What other flavoring do you use?,flavor_preference,How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,expertise,Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee A - Notes,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee B - Notes,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee C - Notes,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,Coffee D - Notes,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?",overall_favorite,Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Why do you drink coffee? (It tastes good),Why do you drink coffee? (I need the caffeine),Why do you drink coffee? (I need the ritual),Why do you drink coffee? (It makes me go to the bathroom),Why do you drink coffee? (Other),Other reason for drinking coffee,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,gender,Gender (please specify),Education Level,Ethnicity/Race,Ethnicity/Race (please specify),Employment Status,Number of Children,Political Affiliation
24x9Zj,35-44 years old,1,At home,True,False,False,False,False,Other,False,False,False,False,False,False,False,False,False,True,Aeropress,,,,,,,,,Other,Aeropress,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Somewhat strong,Medium,Full caffeine,2.0,3.0,4.0,4.0,,4.0,2.0,2.0,Chocolate,2.0,1.0,1.0,"Flat, nothing",2.0,5.0,3.0,Fruity funk,Coffee A,Coffee A,Coffee A,I primarily work in person,$20-$40,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
xd9x9d,18-24 years old,1,"At home, At a cafe, At the office",True,True,False,True,False,"Pour over, French press",True,True,False,False,False,False,False,False,False,False,,,,,,,,,,Cold brew,,"No - just black, Flavor syrup",True,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocolatey,Medium,Medium,Full caffeine,8.0,4.0,5.0,4.0,fruity,5.0,1.0,5.0,creamy soft chocolate earthy,2.0,1.0,3.0,didnt really taste much,4.0,5.0,1.0,did not like this at all raspberry bitter fruit,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",True,True,True,True,False,,Yes,Yes,$6-$8,$8-$10,Yes,$20-$50,Yes,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed full-time,,
GrBAM2,45-54 years old,2,"At home, At the office",True,True,False,False,False,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Cold brew",True,False,True,True,False,False,False,True,False,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,3.0,4.0,more acidity as it cools. Actually a 3.5 on acidity scale. Sweetness. Caramel? Candy? Maybe pumpkin or something? brightness.,3.0,2.0,3.0,"darker, roastier. maybe chocolate? not sure. Definitely on the darker end.",3.0,2.0,2.0,"slight nuttiness, slight fruitiness. A little chocolate? darker roast.",1.0,4.0,5.0,"Definitely fruity. Bright, vibrant, delightful. Maybe a bit of peach in there?",Coffee A,Coffee D,Coffee D,I primarily work in person,$80-$100,It tastes good,True,False,False,False,False,,Yes,Yes,$15-$20,More than $20,No,$500-$1000,Yes,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Independent
bl4pNL,18-24 years old,1,"At home, At the office",True,True,False,False,False,Espresso,False,False,True,False,False,False,False,False,False,False,,,,,,,,,,Iced coffee,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",False,True,True,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,"Artificial Sweeteners (e.g., Splenda), Stevia",False,True,False,False,True,False,False,False,,,,,,,,,Full Bodied,Somewhat strong,Dark,Full caffeine,7.0,3.0,2.0,4.0,,5.0,2.0,1.0,,4.0,3.0,2.0,,2.0,5.0,4.0,,Coffee A,Coffee D,Coffee D,I do a mix of both,$20-$40,"I need the caffeine, It tastes good, I need the ritual",True,True,True,False,False,,Yes,Yes,$8-$10,$8-$10,No,$500-$1000,Yes,Male,,Bachelor's degree,Other (please specify),"white, asian",Employed full-time,,No affiliation
OAB648,25-34 years old,2,"At a cafe, At the office, At home",True,True,False,True,False,"French press, Espresso, Pour over, Cold brew",True,True,True,False,False,False,False,True,False,False,,,,,,,,,,Cortado,,"Milk, dairy alternative, or coffee creamer, No - just black",True,True,False,False,False,,"Oat milk, Coffee creamer, Almond milk",False,False,False,True,False,True,True,False,False,,,,,,,,,,,,,,,,,,Bold,Somewhat strong,Dark,Full caffeine,6.0,2.0,4.0,4.0,,1.0,3.0,3.0,,4.0,2.0,3.0,,3.0,4.0,5.0,,Coffee A,Coffee D,Coffee D,I do a mix of both,$60-$80,"It tastes good, I need the ritual, I need the caffeine",True,True,True,False,False,,Yes,Yes,$10-$15,More than $20,Yes,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
7dEobZ,25-34 years old,3,"At home, At a cafe",True,False,False,True,False,"Pour over, Other",True,False,False,False,False,False,False,False,False,True,Aeropress ,,,,,,,,,Regular drip coffee,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Somewhat light,Light,Full caffeine,7.0,4.0,2.0,4.0,"Hazelnut, caramel",3.0,3.0,2.0,"Smoky, Dark Chocolate",4.0,2.0,2.0,"Earthy, dark chocolate",3.0,4.0,4.0,"Raspberry, blueberry",Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,Yes,$6-$8,$8-$10,No,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent
lN0LKk,18-24 years old,2,"On the go, At the office, At a cafe, At home",True,True,True,True,False,"Pour over, Cold brew, Coffee extract (e.g. Cometeer), French press",True,True,False,False,False,False,False,True,True,False,,"Other, Local cafe",False,True,False,False,False,True,"Online (Amazon, Cometeer, Sey, Stumptown, Oren's Coffee, etc.)",Americano,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Full Bodied,Somewhat strong,Light,Half caff,7.0,1.0,4.0,5.0,,2.0,2.0,4.0,,2.0,2.0,4.0,,1.0,2.0,3.0,,Coffee A,Coffee A,Coffee A,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$4-$6,$4-$6,No,$300-$500,Yes,Male,,Bachelor's degree,Asian/Pacific Islander,,Unemployed,,Democrat
5dE4eE,18-24 years old,2,"At the office, On the go, At home, At a cafe",True,True,True,True,False,"French press, Espresso, Other, Pour over",True,True,True,False,False,False,False,False,False,True,Aeropress,"National chain (e.g. Starbucks, Dunkin), Local cafe, Specialty coffee shop",True,True,False,True,False,False,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",False,True,True,False,False,,"Oat milk, Half and half, Whole milk",True,False,True,False,False,True,False,False,False,Raw Sugar (Turbinado),False,False,False,False,False,False,False,True,,,,,,,,,Bold,Very strong,Medium,Full caffeine,6.0,2.0,3.0,3.0,Lots of apple and citrus,3.0,2.0,5.0,Very nutty and almost smokey,2.0,4.0,3.0,A little taste of berries. Hard to place.,1.0,4.0,2.0,"Funky, sour, might be fermented.",Coffee B,Coffee A,Coffee B,I primarily work in person,$40-$60,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$6-$8,$6-$8,Yes,$50-$100,Yes,Male,,High school graduate,White/Caucasian,,Employed part-time,,No affiliation
EPbOJN,18-24 years old,2,"At home, At the office, At a cafe",True,True,False,True,False,"Espresso, Pod/capsule machine (e.g. Keurig/Nespresso)",False,False,True,False,True,False,False,False,False,False,,,,,,,,,,Iced coffee,,Sugar or sweetener,False,False,True,False,False,,,,,,,,,,,,Granulated Sugar,True,False,False,False,False,False,False,False,,,,,,,,,Fruity,Medium,Blonde,Full caffeine,4.0,3.0,4.0,4.0,"Woody, full, light",4.0,3.0,3.0,Tonic,5.0,2.0,1.0,Bark,3.0,5.0,5.0,"Fruity, berries",Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,No,$8-$10,$8-$10,Yes,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
7dJKYz,25-34 years old,2,At home,True,False,False,False,False,"Cold brew, Pour over, Other",True,False,False,False,False,False,False,True,False,True,Aeropress,,,,,,,,,Iced coffee,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Somewhat strong,Light,Full caffeine,6.0,2.0,4.0,4.0,"Citrus, Jasmine",4.0,2.0,3.0,"Nuts, Chocolate",1.0,1.0,1.0,Green tea,1.0,4.0,5.0,"Pear, Lychee",Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",True,True,True,True,False,,Yes,Yes,$6-$8,$6-$8,No,$300-$500,Yes,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
g5Wqll,25-34 years old,2,"At home, At the office, On the go, At a cafe",True,True,True,True,False,"Espresso, Coffee extract (e.g. Cometeer)",False,False,True,False,False,False,False,False,True,False,,"Specialty coffee shop, Local cafe",False,True,False,True,False,False,,Americano,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocolatey,Medium,Medium,Full caffeine,7.0,2.0,4.0,3.0,Caramel,4.0,1.0,3.0,"Burnt toast, nuts, dark chocolate",4.0,3.0,4.0,"Caramel
BBQ pork",2.0,3.0,3.0,Berry,Coffee C,Coffee D,Coffee C,I primarily work from home,$20-$40,"It tastes good, It makes me go to the bathroom",True,False,False,True,False,,Yes,Yes,$4-$6,$6-$8,Yes,"More than $1,000",Yes,Male,,Doctorate or professional degree,White/Caucasian,,Employed full-time,,Democrat
KMBjGK,35-44 years old,2,"At home, At the office",True,True,False,False,False,"Espresso, Pour over",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Latte,,"No - just black, Milk, dairy alternative, or coffee creamer, Flavor syrup",True,True,False,True,False,,"Skim milk, Oat milk",False,True,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,Full Bodied,Somewhat strong,Medium,Full caffeine,3.0,2.0,4.0,4.0,Creamy?,3.0,2.0,3.0,Thin?,2.0,3.0,3.0,,2.0,2.0,4.0,Fruity?,Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, It makes me go to the bathroom",True,True,False,True,False,,Yes,No,$6-$8,$6-$8,Yes,$300-$500,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
WAeyxR,25-34 years old,1,At home,True,False,False,False,False,"Espresso, Pour over",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Pourover,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juicy,Medium,Light,Full caffeine,9.0,3.0,4.0,4.0,,2.0,2.0,3.0,,3.0,3.0,4.0,,2.0,5.0,5.0,,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,It tastes good,True,False,False,False,False,,Yes,Yes,$8-$10,$8-$10,No,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
WAp79L,25-34 years old,Less than 1,At home,True,False,False,False,False,Espresso,False,False,True,False,False,False,False,False,False,False,,,,,,,,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",False,True,True,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,"Granulated Sugar, Honey",True,False,True,False,False,False,False,False,,,,,,,,,Full Bodied,Somewhat strong,Medium,Full caffeine,7.0,2.0,5.0,4.0,"Pineapple
Grass Skirts
Hula",4.0,2.0,5.0,"Roasted Brazil Nuts
Smokey and Oaky
Woodland Campfire",2.0,2.0,1.0,"Swamp Lite
Shrek Sweat
Peanut Butter",3.0,5.0,3.0,"Raspberry Lime Tonic Water
Fermented Fruit
Fruity Coffee Tea",Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,It tastes good,True,False,False,False,False,,Yes,No,$6-$8,$6-$8,No,$50-$100,Yes,Male,,Some college or associate's degree,Other (please specify),Caucasian ,,,
QABNkG,35-44 years old,1,At home,True,False,False,False,False,"Pour over, Cold brew",True,False,False,False,False,False,False,True,False,False,,,,,,,,,,Cappuccino,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Half and half,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,1.0,"Sour berries, currants, tea-like",4.0,1.0,1.0,Tastes like cigarettes smell,3.0,1.0,4.0,Dark chocolate; nutty,1.0,5.0,2.0,Sour apples,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",True,True,False,False,False,,Yes,Yes,$4-$6,$4-$6,No,$300-$500,Yes,Male,,Doctorate or professional degree,White/Caucasian,,Employed part-time,2,Democrat
blNVJE,25-34 years old,2,"At home, At a cafe",True,False,False,True,False,Other,False,False,False,False,False,False,False,False,False,True,aeropress,,,,,,,,,Americano,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocolatey,Medium,Medium,Full caffeine,6.0,2.0,4.0,2.0,"honey, syrup",3.0,1.0,5.0,toasted bagel,4.0,2.0,4.0,,1.0,5.0,1.0,lemon,Coffee B,Coffee A,Coffee B,I primarily work from home,$40-$60,"I need the ritual, I need the caffeine, It tastes good",True,True,True,False,False,,Yes,Yes,$8-$10,$8-$10,Yes,$100-$300,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
VZ1Kkj,35-44 years old,2,"At home, At a cafe",True,False,False,True,False,"Pour over, French press, Cold brew, Other",True,True,False,False,False,False,False,True,False,True,Chemex,,,,,,,,,Cold brew,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Half and half,False,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Fruity,Medium,Medium,Full caffeine,7.0,2.0,4.0,2.0,"It was enjoyable piping hot, but as it cooled the sourness took over and combined with the body it almost made me think of egg drop soup.",3.0,2.0,4.0,"Solid, darker, nice choclate",2.0,2.0,4.0,"Of the four, this one felt like the best ""daily driver."" Like, this is a coffee that would be a good house roast at a coffee shop or upscale diner. Well balanced, stayed enjoyable throughout the temperature range",2.0,4.0,5.0,"This was an adventure! It felt the most ""coffee nerd"" of the bunch, if you will. I had two other friends doing the tasting, and I knew which one would like it and hate it the second I tasted. Love the strong berry notes to it, went through a phase when cooling where it reminded me of crunchberries from the serial? strawberry flavored things, but not the fresh fruit?",Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,Yes,$8-$10,More than $20,No,$100-$300,Yes,Male,,Some college or associate's degree,White/Caucasian,,Employed full-time,,Democrat
PA8jy5,35-44 years old,2,"On the go, At home, At the office",True,True,True,False,False,"Pod/capsule machine (e.g. Keurig/Nespresso), Pour over",True,False,False,False,True,False,False,False,False,False,,Local cafe,False,True,False,False,False,False,,Latte,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Flavored coffee creamer,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,,Sweet,Medium,Light,Full caffeine,3.0,3.0,4.0,3.0,,3.0,3.0,2.0,,2.0,3.0,4.0,,1.0,3.0,5.0,,Coffee C,Coffee D,Coffee D,I primarily work in person,$20-$40,"I need the caffeine, I need the ritual, It tastes good",True,True,True,False,False,,Yes,Yes,$4-$6,$4-$6,Yes,$50-$100,Yes,Female,,Bachelor's degree,Asian/Pacific Islander,,Employed part-time,,Independent
RzBypp,25-34 years old,2,"At home, At a cafe",True,False,False,True,False,"Espresso, Pour over, Other",True,False,True,False,False,False,False,False,False,True,"Moka Pot, sometimes Bripe",,,,,,,,,Espresso,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fruity,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,4.0,"Nutty when hot, fruitier when cooled. Slight fermented notes, raspberry",3.0,1.0,3.0,"Roasty, toasted grains, emptiness",4.0,3.0,2.0,"Full body, roasted notes. Robusta?",3.0,5.0,5.0,"Fermented Fruit, wine, dark cherries",Coffee A,Coffee D,Coffee D,I primarily work from home,$60-$80,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
vNqjL4,18-24 years old,1,"At a cafe, At home",True,False,False,True,False,"Instant coffee, Espresso",False,False,True,False,False,True,False,False,False,False,,,,,,,,,,Latte,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Oat milk,False,False,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,Nutty,Medium,Medium,Full caffeine,3.0,3.0,5.0,2.0,Orange ,4.0,2.0,4.0,Smokey and nutty ,2.0,1.0,5.0,Floral ,3.0,4.0,2.0,Cirrus and grapefruit ,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"I need the ritual, I need the caffeine",False,True,True,False,False,,Yes,No,$6-$8,$8-$10,No,Less than $20,No,Female,,,,,,,
EP8d7o,18-24 years old,1,"On the go, At home",True,False,True,False,False,Bean-to-cup machine,False,False,False,False,False,False,True,False,False,False,,"Local cafe, National chain (e.g. Starbucks, Dunkin)",True,True,False,False,False,False,,Latte,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Full Bodied,Somewhat light,Medium,Full caffeine,3.0,3.0,3.0,5.0,"Very light, fruity at the start but quickly settles to buttery",5.0,1.0,2.0,"Bitter out the gates, but settles quickly with little aftertaste ",2.0,2.0,3.0,"Middling when it comes to mouth feel, taste was good but uninteresting to me.",1.0,5.0,4.0,"very very acidic, made me shiver!
thinnest coffee of the group ",Coffee A,Coffee A,Coffee A,I primarily work in person,$60-$80,"It tastes good, I need the ritual",True,False,True,False,False,,Yes,No,$15-$20,$8-$10,No,"More than $1,000",Yes,Other (please specify),Transgender Female ,High school graduate,White/Caucasian,,Student,,Democrat
GrYLqQ,45-54 years old,2,At home,True,False,False,False,False,Other,False,False,False,False,False,False,False,False,False,True,Aeropress,,,,,,,,,Mocha,,No - just black,True,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chocolatey,Medium,Medium,Full caffeine,5.0,1.0,4.0,1.0,,4.0,4.0,2.0,,3.0,4.0,3.0,,1.0,5.0,1.0,,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"It tastes good, Other",True,False,False,False,True,I really enjoy a hot mug of coffee in my hands. ,Yes,Yes,$4-$6,$6-$8,No,$100-$300,Yes,Female,,High school graduate,White/Caucasian,,Homemaker,2,Independent
6dQEGk,45-54 years old,2,At home,True,False,False,False,False,Espresso,False,False,True,False,False,False,False,False,False,False,,,,,,,,,,Latte,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Bright,Very strong,Medium,Full caffeine,7.0,1.0,4.0,3.0,,3.0,4.0,3.0,,3.0,4.0,4.0,,2.0,3.0,3.0,,Coffee C,Coffee A,Coffee C,I primarily work from home,$20-$40,"I need the ritual, It tastes good, I need the caffeine",True,True,True,False,False,,Yes,Yes,$6-$8,$8-$10,Yes,"More than $1,000",Yes,Male,,Bachelor's degree,White/Caucasian,,Employed part-time,2,Democrat
jB0ovx,25-34 years old,3,"At home, At the office, On the go",True,True,True,False,False,"French press, Pour over, Instant coffee",True,True,False,False,False,True,False,False,False,False,,Local cafe,False,True,False,False,False,False,,Latte,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup",False,True,True,True,False,,Whole milk,True,False,False,False,False,False,False,False,False,"Granulated Sugar, Brown Sugar, Raw Sugar (Turbinado)",True,False,False,False,False,False,True,True,,,,,,,,,Chocolatey,Somewhat strong,Medium,Full caffeine,4.0,3.0,3.0,2.0,"tea/herbal, jasmine, lemon, earthy",2.0,3.0,3.0,"dark chocolate, orange",2.0,3.0,4.0,"chocolate, hazelnut, jasmine",2.0,4.0,3.0,"cranberry, apple, bergamot",Coffee C,Coffee D,Coffee C,I do a mix of both,>$100,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$6-$8,$8-$10,Yes,$100-$300,Yes,Female,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
bl29y1,35-44 years old,1,"At the office, At home, At a cafe",True,True,False,True,False,Espresso,False,False,True,False,False,False,False,False,False,False,,,,,,,,,,Mocha,,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",False,True,True,False,False,,"Half and half, Whole milk",True,False,True,False,False,False,False,False,False,"Artificial Sweeteners (e.g., Splenda)",False,True,False,False,False,False,False,False,,,,,,,,,Chocolatey,Medium,Medium,Full caffeine,1.0,5.0,1.0,1.0,,2.0,3.0,4.0,,5.0,1.0,1.0,,2.0,4.0,5.0,,Coffee B,Coffee D,Coffee D,I primarily work in person,>$100,"It tastes good, I need the caffeine",True,True,False,False,False,,Yes,Yes,$10-$15,More than $20,No,$500-$1000,Yes,Female,,Doctorate or professional degree,White/Caucasian,,Employed full-time,2,Republican
BGbWMA,25-34 years old,2,"At home, At the office",True,True,False,False,False,"Pour over, Espresso",True,False,True,False,False,False,False,False,False,False,,,,,,,,,,Espresso,,"No - just black, Milk, dairy alternative, or coffee creamer",True,True,False,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Floral,Somewhat strong,Medium,Full caffeine,6.0,2.0,4.0,5.0,"Raspberry, Rye Bread",3.0,2.0,3.0,"Woodsmoke, Chocolate, Pecan",4.0,3.0,2.0,"Paper, Dried Herbs, Red Wine",2.0,4.0,4.0,"Blueberry, Apricot ",Coffee A,Coffee A,Coffee A,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,No,$10-$15,$6-$8,Yes,$300-$500,No,Male,,Bachelor's degree,White/Caucasian,,Employed full-time,,Independent
jBEq21,35-44 years old,2,At home,True,False,False,False,False,"Espresso, Coffee brewing machine (e.g. Mr. Coffee)",False,False,True,True,False,False,False,False,False,False,,,,,,,,,,Cortado,,"Milk, dairy alternative, or coffee creamer",False,True,False,False,False,,Whole milk,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,Caramalized,Somewhat strong,Medium,Full caffeine,6.0,2.0,3.0,5.0,"Best smelling coffee, berry sweetness, cocoa, full/round",4.0,3.0,4.0,"Smoky, toasted nutty, delicate mouthfeel",4.0,3.0,3.0,"Tart cherry; kind of an oily, mechanic shop taste, but in a good way",2.0,4.0,1.0,Not a fan; lemon/citrusy flavor,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$6-$8,$10-$15,Yes,"More than $1,000",Yes,Female,,Bachelor's degree,White/Caucasian,,Employed full-time,,Democrat
DVXkPX,25-34 years old,4,"At home, At the office, On the go, At a cafe",True,True,True,True,False,Espresso,False,False,True,False,False,False,False,False,False,False,,Local cafe,False,True,False,False,False,False,,Cappuccino,,"No - just black, Milk, dairy alternative, or coffee creamer",True,True,False,False,False,,"Oat milk, Skim milk",False,True,False,False,False,True,False,False,False,,,,,,,,,,,,,,,,,,Floral,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,2.0,Lemon,4.0,2.0,3.0,Chocolate,2.0,3.0,2.0,Milk Chocolate,3.0,4.0,4.0,Blackberries,Coffee B,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the caffeine, I need the ritual",True,True,True,False,False,,Yes,Yes,$8-$10,$8-$10,Yes,"More than $1,000",Yes,Male,,Master's degree,White/Caucasian,,Employed full-time,,Democrat
